STATE,TOTAL VOTES,Republican,Republican,Republican,Democratic,Democratic,Democratic,Progressive,Progressive,Progressive,
STATE,TOTAL VOTES,CALVIN COOLIDGE,CALVIN COOLIDGE,CALVIN COOLIDGE,JOHN W. DAVIS,JOHN W. DAVIS,JOHN W. DAVIS,ROBERT M. LA FOLLETTE,ROBERT M. LA FOLLETTE,ROBERT M. LA FOLLETTE,
STATE,TOTAL VOTES,Votes,%,EV,Votes,%,EV,Votes,%,EV,
,,,,,,,,,,
Alabama,166593,45005,27.0,,112966,67.8,12,8084,4.9,
Arizona,73961,30516,41.3,3,26235,35.5,,17210,23.3,
Arkansas,138540,40583,29.3,,84790,61.2,9,13167,9.5,
California,1281778,733250,57.2,13,105514,8.2,,424649,33.1,
Colorado,342261,195171,57.0,6,75238,22.0,,69945,20.4,
Connecticut,400396,246322,61.5,7,110184,27.5,,42416,10.6,
Delaware,90885,52441,57.7,3,33445,36.8,,4979,5.5,
Florida,109158,30633,28.1,,62083,56.9,6,8625,7.9,
Georgia,166635,30300,18.2,,123262,74.0,14,12687,7.6,
Idaho,147690,69791,47.3,4,23951,16.2,,53948,36.5,
Illinois,2470067,1453321,58.8,29,576975,23.4,,432027,17.5,
Indiana,1272390,703042,55.3,15,492245,38.7,,71700,5.6,
Iowa,976770,537458,55.0,13,160382,16.4,,274448,28.1,
Kansas,662456,407671,61.5,10,156320,23.6,,98461,14.9,
Kentucky,816070,398966,48.9,13,375593,46.0,,38465,4.7,
Louisiana,121951,24670,20.2,,93218,76.4,10,--,0,
Maine,192192,138440,72.0,6,41964,21.8,,11382,5.9,
Maryland,358630,162414,45.3,8,148072,41.3,,47157,13.1,
Massachusetts,1129837,703476,62.3,18,280831,24.9,,141225,12.5,
Michigan,1160419,874631,75.4,15,152359,13.1,,122014,10.5,
Minnesota,822146,420759,51.2,12,55913,6.8,,339192,41.3,
Mississippi,112442,8494,7.6,,100474,89.4,10,3474,3.1,
Missouri,1310095,648488,49.5,18,574962,43.9,,83986,6.4,
Montana,174425,74138,42.5,4,33805,19.4,,65876,37.9,
Nebraska,463559,218985,47.2,8,137299,29.6,,105681,22.8,
Nevada,26921,11243,41.8,3,5909,21.9,,9769,36.3,
New Hampshire,164769,98575,59.8,4,57201,34.7,,8993,5.5,
New Jersey,1088054,676277,62.2,14,298043,27.4,,109028,10.0,
New Mexico,112830,54745,48.5,3,48542,43.0,,9543,8.5,
New York,3263939,1820058,55.8,45,950796,29.1,,474913,14.6,
North Carolina,481608,190754,39.6,,284190,59.0,12,6651,1.4,
North Dakota,199081,94931,47.7,5,13858,7.0,,89922,45.2,
Ohio,2016296,1176130,58.3,24,477887,23.7,,358008,17.8,
Oklahoma,527928,225755,42.8,,255798,48.4,10,41141,7.8,
Oregon,279488,142579,51.0,5,67589,24.2,,68403,24.5,
Pennsylvania,2144850,1401481,65.3,38,409192,19.1,,307567,14.3,
Rhode Island,210115,125286,59.6,5,76606,36.5,,7628,3.6,
South Carolina,50755,1123,2.2,,49008,96.6,9,623,1.2,
South Dakota,203868,101299,49.7,5,27214,13.3,,75355,37.0,
Tennessee,301030,130831,43.5,,159339,52.9,12,10666,3.5,
Texas,657054,130794,19.9,,483381,73.6,20,42879,6.5,
Utah,156990,77327,49.3,4,47001,29.9,,32662,20.8,
Vermont,102917,80498,78.2,4,16124,15.7,,5964,5.8,
Virginia,223603,73328,32.8,,139717,62.5,12,10369,4.6,
Washington,421549,220224,52.2,7,42842,10.2,,150727,35.8,
West Virginia,583662,288635,49.5,8,257232,44.1,,36723,6.3,
Wisconsin,840827,311614,37.1,,68115,8.1,,453678,54.0,13
Wyoming,79900,41858,52.4,3,12868,16.1,,25174,31.5,
