STATE,TOTAL VOTES,Republican,Republican,Republican,Democratic,Democratic,Democratic,
STATE,TOTAL VOTES,HERBERT HOOVER,HERBERT HOOVER,HERBERT HOOVER,ALFRED E. SMITH,ALFRED E. SMITH,ALFRED E. SMITH,
STATE,TOTAL VOTES,Votes,%,EV,Votes,%,EV,
,,,,,,,,
Alabama,248981,120725,48.5,,127796,51.3,12,
Arizona,91254,52533,57.6,3,38537,42.2,,
Arkansas,197726,77784,39.3,,119196,60.3,9,
California,1796656,1162323,64.7,13,614365,34.2,,
Colorado,392242,253872,64.7,6,133131,33.9,,
Connecticut,553118,296641,53.6,7,252085,45.6,,
Delaware,104602,68860,65.8,3,35354,33.8,,
Florida,253672,144168,56.8,6,101764,40.1,,
Georgia,231592,101800,44.0,,129604,56.0,14,
Idaho,154230,99848,64.7,4,53074,34.4,,
Illinois,3107489,1769141,56.9,29,1313817,42.3,,
Indiana,1421314,848290,59.7,15,562691,39.6,,
Iowa,1009189,623570,61.8,13,379011,37.6,,
Kansas,713200,513672,72.0,10,193003,27.1,,
Kentucky,940521,558064,59.3,13,381070,40.5,,
Louisiana,215833,51160,23.7,,164655,76.3,10,
Maine,262170,179923,68.6,6,81179,31.0,,
Maryland,528348,301479,57.1,8,223626,42.3,,
Massachusetts,1577823,775566,49.2,,792758,50.2,18,
Michigan,1372082,965396,70.4,15,396762,28.9,,
Minnesota,970976,560977,57.8,12,396451,40.8,,
Mississippi,151568,27030,17.8,,124538,82.2,10,
Missouri,1500845,834080,55.6,18,662684,44.2,,
Montana,194108,113300,58.4,4,78578,40.5,,
Nebraska,547128,345745,63.2,8,197950,36.2,,
Nevada,32417,18327,56.5,3,14090,43.5,,
New Hampshire,196757,115404,58.7,4,80715,41.0,,
New Jersey,1549381,926050,59.8,14,616517,39.8,,
New Mexico,118077,69708,59.0,3,48211,40.8,,
New York,4405626,2193344,49.8,45,2089863,47.4,,
North Carolina,635150,348923,54.9,12,286227,45.1,,
North Dakota,239845,131419,54.8,5,106648,44.5,,
Ohio,2508346,1627546,64.9,24,864210,34.5,,
Oklahoma,618427,394046,63.7,10,219174,35.4,,
Oregon,319942,205341,64.2,5,109223,34.1,,
Pennsylvania,3150612,2055382,65.2,38,1067586,33.9,,
Rhode Island,237194,117522,49.5,,118973,50.2,5,
South Carolina,68605,5858,8.5,,62700,91.4,9,
South Dakota,261857,157603,60.2,5,102660,39.2,,
Tennessee,353192,195388,55.3,12,157143,44.5,,
Texas,708999,367036,51.8,20,341032,48.1,,
Utah,176603,94618,53.6,4,80985,45.9,,
Vermont,135191,90404,66.9,4,44440,32.9,,
Virginia,305364,164609,53.9,12,140146,45.9,,
Washington,500840,335844,67.1,7,156772,31.3,,
West Virginia,642752,375551,58.4,8,263784,41.0,,
Wisconsin,1016831,544205,53.5,13,450259,44.3,,
Wyoming,82835,52748,63.7,3,29299,35.4,
