STATE,TOTAL VOTES,Democratic,Democratic,Democratic,Republican,Republican,Republican,
STATE,TOTAL VOTES,FRANKLIN D. ROOSEVELT,FRANKLIN D. ROOSEVELT,FRANKLIN D. ROOSEVELT,HERBERT C. HOOVER,HERBERT C. HOOVER,HERBERT C. HOOVER,
STATE,TOTAL VOTES,Votes,%,EV,Votes,%,EV,
,,,,,,,,
Alabama,245303,207910,84.8,11,34675,14.1,,
Arizona,118251,79264,67.0,3,36104,30.5,,
Arkansas,216569,186829,86.3,9,27465,12.7,,
California,2266972,1324157,58.4,22,847902,37.4,,
Colorado,457696,250877,54.8,6,189617,41.4,,
Connecticut,594183,281632,47.4,,288420,48.5,8,
Delaware,112901,54319,48.1,,57073,50.6,3,
Florida,276943,206307,74.5,7,69170,25.0,,
Georgia,255590,234118,91.6,12,19863,7.8,,
Idaho,186520,109479,58.7,4,71312,38.2,,
Illinois,3407926,1882304,55.2,29,1432756,42.0,,
Indiana,1576927,862054,54.7,14,677184,42.9,,
Iowa,1036687,598019,57.7,11,414433,40.0,,
Kansas,791978,424204,53.6,9,349498,44.1,,
Kentucky,983059,580574,59.1,11,394716,40.2,,
Louisiana,268804,249418,92.8,10,18853,7.0,,
Maine,298444,128907,43.2,,166631,55.8,5,
Maryland,511054,314314,61.5,8,184184,36.0,,
Massachusetts,1580114,800148,50.6,17,736959,46.6,,
Michigan,1664765,871700,52.4,19,739894,44.4,,
Minnesota,1002843,600806,59.9,11,363959,36.3,,
Mississippi,146034,140168,96.0,9,5180,3.5,,
Missouri,1609894,1025406,63.7,15,564713,35.1,,
Montana,216479,127286,58.8,4,78078,36.1,,
Nebraska,570135,359082,63.0,7,201177,35.3,,
Nevada,41430,28756,69.4,3,12674,30.6,,
New Hampshire,205520,100680,49.0,,103629,50.4,4,
New Jersey,1630063,806630,49.5,16,775684,47.6,,
New Mexico,151606,95089,62.7,3,54217,35.8,,
New York,4688614,2534959,54.1,47,1937963,41.3,,
North Carolina,711498,497566,69.9,13,208344,29.3,,
North Dakota,256290,178350,69.6,4,71772,28.0,,
Ohio,2609728,1301695,49.9,26,1227319,47.0,,
Oklahoma,704633,516468,73.3,11,188165,26.7,,
Oregon,368751,213871,58.0,5,136019,36.9,,
Pennsylvania,2859021,1295948,45.3,,1453540,50.8,36,
Rhode Island,266170,146604,55.1,4,115266,43.3,,
South Carolina,104407,102347,98.0,8,1978,1.9,,
South Dakota,288438,183515,63.6,4,99212,34.4,,
Tennessee,390273,259473,66.5,11,126752,32.5,,
Texas,863406,760348,88.1,23,97959,11.3,,
Utah,206578,116750,56.5,4,84795,41.0,,
Vermont,136980,56266,41.1,,78984,57.7,3,
Virginia,297942,203979,68.5,11,89637,30.1,,
Washington,614814,353260,57.5,8,208645,33.9,,
West Virginia,743774,405124,54.5,8,330731,44.5,,
Wisconsin,1114814,707410,63.5,12,347741,31.2,,
Wyoming,96962,54370,56.1,3,39583,40.8,
