state,total_votes,dem_votes,dem_pct,dem_ev,rep_votes,rep_pct,rep_ev,year
Alabama,248981,127796,51.3,12,120725,48.5,,1928
Arizona,91254,38537,42.2,,52533,57.6,3,1928
Arkansas,197726,119196,60.3,9,77784,39.3,,1928
California,1796656,614365,34.2,,1162323,64.7,13,1928
Colorado,392242,133131,33.9,,253872,64.7,6,1928
Connecticut,553118,252085,45.6,,296641,53.6,7,1928
Delaware,104602,35354,33.8,,68860,65.8,3,1928
Florida,253672,101764,40.1,,144168,56.8,6,1928
Georgia,231592,129604,56.0,14,101800,44.0,,1928
Idaho,154230,53074,34.4,,99848,64.7,4,1928
Illinois,3107489,1313817,42.3,,1769141,56.9,29,1928
Indiana,1421314,562691,39.6,,848290,59.7,15,1928
Iowa,1009189,379011,37.6,,623570,61.8,13,1928
Kansas,713200,193003,27.1,,513672,72.0,10,1928
Kentucky,940521,381070,40.5,,558064,59.3,13,1928
Louisiana,215833,164655,76.3,10,51160,23.7,,1928
Maine,262170,81179,31.0,,179923,68.6,6,1928
Maryland,528348,223626,42.3,,301479,57.1,8,1928
Massachusetts,1577823,792758,50.2,18,775566,49.2,,1928
Michigan,1372082,396762,28.9,,965396,70.4,15,1928
Minnesota,970976,396451,40.8,,560977,57.8,12,1928
Mississippi,151568,124538,82.2,10,27030,17.8,,1928
Missouri,1500845,662684,44.2,,834080,55.6,18,1928
Montana,194108,78578,40.5,,113300,58.4,4,1928
Nebraska,547128,197950,36.2,,345745,63.2,8,1928
Nevada,32417,14090,43.5,,18327,56.5,3,1928
New Hampshire,196757,80715,41.0,,115404,58.7,4,1928
New Jersey,1549381,616517,39.8,,926050,59.8,14,1928
New Mexico,118077,48211,40.8,,69708,59.0,3,1928
New York,4405626,2089863,47.4,,2193344,49.8,45,1928
North Carolina,635150,286227,45.1,,348923,54.9,12,1928
North Dakota,239845,106648,44.5,,131419,54.8,5,1928
Ohio,2508346,864210,34.5,,1627546,64.9,24,1928
Oklahoma,618427,219174,35.4,,394046,63.7,10,1928
Oregon,319942,109223,34.1,,205341,64.2,5,1928
Pennsylvania,3150612,1067586,33.9,,2055382,65.2,38,1928
Rhode Island,237194,118973,50.2,5,117522,49.5,,1928
South Carolina,68605,62700,91.4,9,5858,8.5,,1928
South Dakota,261857,102660,39.2,,157603,60.2,5,1928
Tennessee,353192,157143,44.5,,195388,55.3,12,1928
Texas,708999,341032,48.1,,367036,51.8,20,1928
Utah,176603,80985,45.9,,94618,53.6,4,1928
Vermont,135191,44440,32.9,,90404,66.9,4,1928
Virginia,305364,140146,45.9,,164609,53.9,12,1928
Washington,500840,156772,31.3,,335844,67.1,7,1928
West Virginia,642752,263784,41.0,,375551,58.4,8,1928
Wisconsin,1016831,450259,44.3,,544205,53.5,13,1928
Wyoming,82835,29299,35.4,,52748,63.7,3,1928
